Date,AAPL,MSFT,NVDA,GOOGL,AMZN,META,TSLA,AVGO,AMD,NFLX,ADBE,CRM,ORCL,INTC,QCOM,CSCO,IBM,TXN,NOW,MU
2025-01-03,242.26429748535156,420.24993896484375,144.4304962158203,191.0417938232422,224.19000244140625,602.7293701171875,410.44000244140625,230.46742248535156,125.37000274658203,88.1050033569336,430.57000732421875,330.74078369140625,164.68202209472656,20.559999465942383,154.3743438720703,57.46379089355469,217.0421600341797,184.5192108154297,214.75399780273438,89.57643127441406
2025-01-06,243.8969268798828,424.7169189453125,149.38912963867188,196.1019744873047,227.61000061035156,628.2190551757812,411.04998779296875,234.2928466796875,129.5500030517578,88.17900085449219,431.17999267578125,328.3861999511719,164.0582275390625,19.8700008392334,156.35012817382812,57.37592697143555,217.06166076660156,186.13671875,215.41000366210938,98.93576049804688
2025-01-07,241.11947631835938,419.277099609375,140.10166931152344,194.72735595703125,222.11000061035156,615.94775390625,394.3599853515625,226.59243774414062,127.33000183105469,87.91899871826172,422.6300048828125,322.8224792480469,160.43426513671875,20.010000228881836,157.00547790527344,57.53213119506836,218.31918334960938,186.165771484375,210.8300018310547,101.57710266113281
2025-01-08,241.6072540283203,421.4510803222656,140.07168579101562,193.193359375,222.1300048828125,608.8002319335938,394.94000244140625,227.25640869140625,121.83999633789062,87.5,419.5799865722656,324.77972412109375,161.5333251953125,19.8799991607666,155.59698486328125,57.79572677612305,217.5587921142578,185.63307189941406,209.8159942626953,99.08526611328125
2025-01-10,235.7836151123047,415.88214111328125,135.8728485107422,191.2908172607422,218.94000244140625,613.924072265625,394.739990234375,222.3012237548828,116.04000091552734,83.76899719238281,405.9200134277344,315.7884216308594,153.35443115234375,19.149999618530273,153.54295349121094,57.346641540527344,214.21519470214844,184.1705322265625,204.91400146484375,99.01549530029297
2025-01-13,233.34463500976562,414.1350402832031,133.19357299804688,190.26483154296875,218.4600067138672,606.4177856445312,403.30999755859375,223.27243041992188,117.31999969482422,84.02899932861328,408.5,317.00048828125,152.77874755859375,19.200000762939453,153.68968200683594,57.36616516113281,211.9243927001953,185.08096313476562,203.1479949951172,94.74948120117188
2025-01-14,232.22967529296875,412.62615966796875,131.7239532470703,188.9201202392578,217.75999450683594,592.3820190429688,396.3599853515625,222.68771362304688,116.08999633789062,82.83999633789062,412.7099914550781,321.4415283203125,155.1510009765625,19.200000762939453,156.03713989257812,57.92264175415039,212.2655792236328,187.41519165039062,206.25799560546875,97.04196166992188
2025-01-15,236.79901123046875,423.188232421875,136.2027587890625,194.78712463378906,223.35000610351562,615.1801147460938,428.2200012207031,225.95816040039062,119.95999908447266,84.82599639892578,417.2799987792969,319.07696533203125,157.1361846923828,19.719999313354492,160.81028747558594,58.55722427368164,214.4881591796875,191.29910278320312,210.8260040283203,102.85292053222656
2025-01-16,227.23226928710938,421.47088623046875,133.53347778320312,192.1574249267578,220.66000366210938,609.3783569335938,413.82000732421875,227.3555450439453,118.44000244140625,84.23699951171875,426.92999267578125,317.9244689941406,158.3570556640625,19.670000076293945,157.89552307128906,58.40102005004883,217.05191040039062,181.47796630859375,211.4320068359375,102.26484680175781
2025-01-17,228.94454956054688,425.8883056640625,137.67234802246094,195.23536682128906,225.94000244140625,610.8438110351562,426.5,235.31362915039062,121.45999908447266,85.80999755859375,429.989990234375,322.45489501953125,159.83602905273438,21.489999771118164,160.9569854736328,58.801292419433594,219.1282501220703,186.36915588378906,214.29600524902344,105.4045639038086
2025-01-21,221.6375732421875,425.3621826171875,140.79148864746094,197.27737426757812,230.7100067138672,614.522216796875,424.07000732421875,238.15792846679688,122.27999877929688,86.96800231933594,436.3599853515625,324.7200927734375,171.29046630859375,21.770000457763672,163.60768127441406,59.58232116699219,218.6116180419922,189.09078979492188,219.3699951171875,109.02269744873047
2025-01-22,222.8222198486328,442.93255615234375,147.02981567382812,197.59613037109375,235.00999450683594,621.5401000976562,415.1099853515625,238.75253295898438,123.75,95.39900207519531,437.32000732421875,330.4626159667969,182.85406494140625,21.860000610351562,166.5126495361328,60.168087005615234,217.6367950439453,190.8535919189453,225.03399658203125,108.8731918334961
2025-01-23,222.65301513671875,443.4388427734375,147.17974853515625,197.2076416015625,235.4199981689453,634.4493408203125,412.3800048828125,238.12820434570312,123.04000091552734,98.48600006103516,437.2799987792969,332.4893798828125,185.08738708496094,21.56999969482422,170.5424346923828,60.75385284423828,220.34677124023438,194.30162048339844,226.83999633789062,104.49752807617188
2025-01-24,221.77694702148438,440.8082275390625,142.58099365234375,199.428955078125,234.85000610351562,645.45458984375,406.5799865722656,242.50860595703125,122.83999633789062,97.75900268554688,435.3800048828125,331.7144470214844,182.23866271972656,20.829999923706055,168.34169006347656,60.75385284423828,219.13803100585938,179.6861572265625,224.99600219726562,102.85292053222656
2025-01-27,228.8250732421875,431.3778076171875,118.38761901855469,191.06170654296875,235.4199981689453,657.8057250976562,397.1499938964844,200.31985473632812,115.01000213623047,97.18900299072266,438.6000061035156,344.8487243652344,157.10641479492188,20.290000915527344,167.43203735351562,57.67857360839844,218.4849090576172,181.14865112304688,228.12399291992188,90.81238555908203
2025-01-28,237.187255859375,443.92529296875,128.95472717285156,194.53810119628906,238.14999389648438,672.2103271484375,398.0899963378906,205.5030059814453,114.16999816894531,97.18299865722656,442.8399963378906,357.6153564453125,162.78399658203125,19.799999237060547,167.7939453125,58.020267486572266,219.9763641357422,174.8917999267578,234.0780029296875,87.96172332763672
